PROFILE_ID,EFFECTIVE_DATE,TITLE,SHIELD_NO,EXPORT_DATE
6481a0fb-61c9-4ef0-bb5b-8d1737901548,07/10/2006,POLICE OFFICER,9819,04/19/2026
598786ed-66b5-48ee-9127-8597a542c792,12/29/2020,POLICE OFFICER,11839,04/19/2026
de55e3fb-2867-4e61-9c77-2154187137f4,01/26/2007,SERGEANT,4245,04/19/2026
85e8dd8d-d182-4f9d-99ea-4a2e1d11b98d,10/26/2018,SERGEANT,1062,04/19/2026
97df97ba-6018-497e-b858-4dfdb6a42773,10/31/2023,DETECTIVE,6986,04/19/2026
e2b18e6e-6f84-4075-aec7-b246e47cadc0,12/17/2015,DETECTIVE,4482,04/19/2026
f6312dc0-f516-49e8-82ce-3e0ef3461bcb,01/26/2024,DETECTIVE,1905,04/19/2026
5310e1ec-90c9-498e-b87d-063be23d28d8,07/08/2008,POLICE OFFICER,7840,04/19/2026
f41215a1-c004-4269-a6d3-8a74c59c8f28,01/09/2012,POLICE OFFICER,5762,04/19/2026
393e1dc6-6744-4f3d-911f-99845bc32375,09/05/2025,CAPTAIN,,04/19/2026
8c35d3c1-8e22-4dc7-b32d-60895e6eff33,08/30/1993,POLICE OFFICER,25534,04/19/2026
4c89e516-a5b1-4580-97bf-5c57db5e4d71,08/02/2011,SERGEANT,1829,04/19/2026
579bef28-0de2-4bb5-8e73-87ffd2f06d1c,11/22/2016,DETECTIVE,6721,04/19/2026
83095a65-2cc7-47d6-8ae9-ea5af028faba,01/29/2025,POLICE OFFICER,18817,04/19/2026
42aa77cc-d6f5-43af-bfa0-130ee53b1ce5,11/02/2020,POLICE OFFICER,10438,04/19/2026
dd55a8b7-b570-4d0b-898b-394194a14a97,10/07/2019,POLICE OFFICER,20949,04/19/2026
c6f1d8ff-619c-42b8-9158-3e5aeae90b93,07/09/2013,POLICE OFFICER,478,04/19/2026
f31657bc-f4c5-4683-88cc-27ad3aed35d5,04/15/2011,SERGEANT,1644,04/19/2026
858e11a8-0b4f-476f-af08-9b6e05e4336d,07/08/2015,POLICE OFFICER,20423,04/19/2026
9491600c-03ab-4179-9c87-d781c4c1d1da,06/28/2013,DETECTIVE,2426,04/19/2026
0e71ba09-3efe-4651-91b2-035de034bcb5,04/26/2023,POLICE OFFICER,17712,04/19/2026
c91191bf-b974-46c2-b324-fe451ea11f6e,01/27/2012,SERGEANT,2996,04/19/2026
863a8ac0-0d62-4fce-b242-47056f31391f,10/29/2004,DETECTIVE,1693,04/19/2026
8b3804ec-4903-4129-9d08-12cf03123588,01/08/2014,POLICE OFFICER,12875,04/19/2026
24539207-cd6e-4114-a602-4d9b37226eb5,12/29/2020,POLICE OFFICER,5401,04/19/2026
08a35145-54de-4b21-85d8-bec4987b7932,07/09/2014,POLICE OFFICER,8060,04/19/2026
921bc29c-2acd-4b79-a4ce-09a5d9012b80,09/28/2017,LIEUTENANT,,04/19/2026
c5ed9bff-0a18-498b-97f4-be865f24b386,03/01/2013,DETECTIVE,351,04/19/2026
91869965-605f-4cdf-a8b1-0d3ee17171ca,10/12/2021,POLICE OFFICER,4461,04/19/2026
adc69807-9967-4287-9d42-f26b4943644c,12/17/2025,POLICE OFFICER,10244,04/19/2026
9136f84a-543b-4374-a647-7103137d2ca6,08/31/2007,LIEUTENANT,,04/19/2026
d21f00ea-1711-4b50-a7db-303c80438916,01/25/2024,POLICE OFFICER,7801,04/19/2026
d4d3e5bd-eb6f-4639-8c64-5aa233174c0d,02/24/2017,DETECTIVE,7403,04/19/2026
ac6296e6-160e-4415-9787-4a87ff89bc9c,06/09/2017,SERGEANT,1019,04/19/2026
79e57695-e45c-480e-8c0c-4eb0008e7c4c,12/17/2015,SERGEANT,3590,04/19/2026
954f7c4d-a990-4ca6-ba8e-67c018d57773,11/24/2020,DETECTIVE,2420,04/19/2026
2f882742-334c-4c09-9b70-b79f40f9dc8e,07/10/2019,SGT DET SQUAD,,04/19/2026
92e34307-e489-49f8-8b61-73a82d44dea5,01/28/2016,DETECTIVE,5163,04/19/2026
adefde5e-f2bf-489c-b796-33e47fd067e2,11/03/2014,SERGEANT,4918,04/19/2026
facdc4f0-68cd-46fb-9745-4f8265819a08,04/30/2025,POLICE OFFICER,20253,04/19/2026
cc4f2c1e-b21c-4c1a-9742-d482e38f0d7f,01/09/2006,POLICE OFFICER,11393,04/19/2026
ef5fe341-9f29-492e-8ad5-af360456a345,08/20/2025,POLICE OFFICER,27764,04/19/2026
1d957727-0566-40ed-8529-6824aad0e59d,06/24/2011,SERGEANT,1115,04/19/2026
f9663ff1-4c05-4ece-8655-e1f7afcf40ee,07/01/2003,POLICE OFFICER,26798,04/19/2026
542fee18-9971-4191-89a6-342935e3da05,04/13/2022,POLICE OFFICER,10719,04/19/2026
399715d9-2c6a-4447-9f9a-8213665a9c65,01/06/2016,POLICE OFFICER,12146,04/19/2026
5fb5026d-b080-4fb9-b27f-693c450a4c78,10/24/2018,POLICE OFFICER,12135,04/19/2026
7a2560e5-0e9f-4dac-b93e-b74e4942af2d,12/23/2022,SERGEANT,4352,04/19/2026
53364333-c638-4150-8331-28fd340f04dd,08/30/2024,DETECTIVE,438,04/19/2026
fe29a198-51a0-4424-aadd-029031516969,07/11/2012,POLICE OFFICER,9996,04/19/2026
2bdcbcae-ee19-45cd-9a8b-95798a9e5711,01/10/2018,POLICE OFFICER,26388,04/19/2026
344e0a5e-a625-43cf-8a43-9e276665e4f0,08/30/2012,SERGEANT,1491,04/19/2026
44706045-3dce-4af2-b4f0-99c982c638d0,03/01/2000,POLICE OFFICER,30986,04/19/2026
6cac3ee5-0744-4d9f-9171-7f84dc5502dd,06/10/2021,DETECTIVE,16,04/19/2026
47d72cd9-5d1e-4f48-83ac-fc85b5ab498e,12/29/2020,POLICE OFFICER,5475,04/19/2026
12ae8fb7-8cc3-4154-80bd-d89beee618b4,06/10/2021,LIEUTENANT,,04/19/2026
6ab43aac-9c23-44ea-9102-319922700f92,01/09/2013,POLICE OFFICER,24918,04/19/2026
65cefdb0-5670-4358-bea7-208d9d57087a,07/06/2010,POLICE OFFICER,6898,04/19/2026
94dbfe1f-e91c-43c7-94c8-5f610fc14080,01/30/2026,DETECTIVE,3284,04/19/2026
177bf2eb-5dbc-4c83-a147-021af8c1b33d,05/30/2008,SERGEANT,528,04/19/2026
26f75c9f-8d93-4f47-b614-2f664f456c46,12/19/2025,SERGEANT,4167,04/19/2026
5cbf9e2c-9826-4f65-82b7-e89ecbed03a1,01/04/2017,POLICE OFFICER,20484,04/19/2026
25141f85-abf8-4111-9ad9-984cbf2f3d47,06/28/2024,SGT DET SQUAD,,04/19/2026
92531b03-a292-4a1b-ae53-e7e17fe7d2f6,10/18/2017,POLICE OFFICER,10912,04/19/2026
37f8dfa1-0dcd-44dc-8076-78eb786d9b62,01/08/2014,POLICE OFFICER,10778,04/19/2026
0c1517b9-2c23-4b82-8f47-3e521378fcd0,01/10/2005,POLICE OFFICER,31610,04/19/2026
4bac7c9d-f988-4166-bc0d-087d88af6f28,09/28/2012,SERGEANT,959,04/19/2026
574579bb-91b1-451e-a174-92a42702858f,01/27/2012,SERGEANT,3179,04/19/2026
3974a277-5859-4d51-bf48-69c8ddf7df13,09/30/2024,DETECTIVE,6113,04/19/2026
719f02c6-0f30-4e8a-95cf-fc25851efff1,08/26/2022,DETECTIVE,6935,04/19/2026
2afc9c7d-c69a-4ed3-a6f1-9feff52167a5,07/25/2008,SERGEANT,2441,04/19/2026
2db97f1b-d7fd-40e0-ba17-b26234185650,01/07/2008,POLICE OFFICER,16422,04/19/2026
c1c6afc4-a114-4362-bc51-447957fc1078,11/27/2024,DETECTIVE,3182,04/19/2026
9a2b5436-ed98-45d4-8f44-bfa603fd7cab,05/27/2022,DETECTIVE,4442,04/19/2026
81cdb24e-ffee-42d2-8cd7-bc8b3869e8aa,10/18/2021,LIEUTENANT,,04/19/2026
1456118c-afbd-47bd-ad34-28241eaa114a,11/22/2016,SERGEANT,2562,04/19/2026
221a8f98-e449-46c9-90ca-3ea6cd73c6cf,07/11/2012,POLICE OFFICER,14374,04/19/2026
758db101-122f-4e56-afd5-b1651bfa6fb2,02/28/1994,POLICE OFFICER,22294,04/19/2026
0265845d-92fb-4b22-929c-1563ec8fa699,02/26/2020,LIEUTENANT,,04/19/2026
46fb5787-04f4-46d9-9d73-ca4328a58568,06/09/2025,POLICE OFFICER,23180,04/19/2026
0a1c9e19-27ab-4c1a-b078-d593b54f01e1,07/06/2011,POLICE OFFICER,15633,04/19/2026
c80d92bc-9f32-4da7-b7f4-5c2263268816,01/17/2024,POLICE OFFICER,3963,04/19/2026
0a105599-e763-4b46-a632-1c0b3e4f4c90,01/09/2019,POLICE OFFICER,16473,04/19/2026
7680a603-0138-4c81-8bb6-f233805486f6,10/18/2017,POLICE OFFICER,10766,04/19/2026
6d11151f-cd0a-4f06-9fed-176f47aaa90b,07/08/2015,POLICE OFFICER,6098,04/19/2026
42d935e6-ad1e-44a4-bba4-e2be1804f0ba,07/03/2024,POLICE OFFICER,459,04/19/2026
6284c64c-e10f-42ae-bdd1-68012bad8042,07/27/2018,DETECTIVE,765,04/19/2026
5609acdd-bdc8-4de2-bcc9-a28a2acdcd7b,01/08/2014,POLICE OFFICER,6692,04/19/2026
023d44a5-1cac-43c8-8a65-b9a6bef50c02,03/28/2014,LIEUTENANT,,04/19/2026
d755db0f-ed6f-441a-8ac2-7e2ea8bbf484,07/11/2012,POLICE OFFICER,562,04/19/2026
67c7ecdd-c307-4f2e-82be-ef7db6668782,01/06/2016,POLICE OFFICER,14814,04/19/2026
d1b5de85-f591-42e0-9d33-e350122c19e4,02/23/2024,LIEUTENANT,,04/19/2026
e0927b1d-a55a-4f94-860a-8aa88b18aacc,05/29/2012,DETECTIVE,3365,04/19/2026
5aa52bb4-6829-4522-b9f6-eb8df54b7ced,12/17/2025,POLICE OFFICER,7639,04/19/2026
1b41be80-766d-478c-9a03-352f6ddb11f2,07/13/2022,POLICE OFFICER,17626,04/19/2026
56fc2e22-e489-4d00-9d67-9d8a1065bf53,12/08/1997,POLICE OFFICER,12575,04/19/2026
3c3aee91-b97d-44c1-a503-bdcd14337637,07/11/2012,POLICE OFFICER,2057,04/19/2026
ea864590-b369-4efd-84bd-cb584db7c7c7,11/21/2017,LT DET COMMANDER,,04/19/2026
9e6eaa5a-e803-48f5-8142-eb2e2e29f412,07/31/2024,SERGEANT,286,04/19/2026
61a8d95b-dc5a-464e-882e-54b6b5adc504,01/09/2013,POLICE OFFICER,21529,04/19/2026
c0c825fc-6378-49c2-a834-edfa9cd7b67f,10/18/2017,POLICE OFFICER,7042,04/19/2026
a77577e1-045b-45d3-b919-4256c98cce19,07/09/2013,POLICE OFFICER,12114,04/19/2026
70d47e15-b1b5-4869-b2df-eebd2ba3d010,10/25/2023,POLICE OFFICER,131,04/19/2026
fee0c35c-d0fd-4866-ac91-a0fc18ca3171,06/10/2021,DETECTIVE,2732,04/19/2026
6f03c8e2-a3a0-426e-93a2-e1702ecd63e1,05/26/2006,DETECTIVE,6356,04/19/2026
fe5959a6-8352-4f38-af0d-63ad2f30683d,07/09/2013,POLICE OFFICER,31920,04/19/2026
7d93d900-16fc-4634-86b8-c9a8098e3a6e,07/08/2015,POLICE OFFICER,20474,04/19/2026
30794b6b-f7c7-4a03-84d3-34d95aa9433f,02/28/2003,SERGEANT,3973,04/19/2026
1141cf8d-3154-4c7f-850c-8d7b1534dc69,06/27/2025,SERGEANT,1212,04/19/2026
27d23af6-f141-4f2c-b663-e691a4028bda,10/07/2019,POLICE OFFICER,5448,04/19/2026
cca77807-5ab7-48e2-a49b-09be97a4d981,07/09/2013,POLICE OFFICER,10507,04/19/2026
