"_parent_id","value","_id"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{external_url=http://www.geekwire.com/2011/rewind-ben-elowitz-wetpaint-ceo-building-type-media-company; title=GeekWire interview: Rewind - Ben Elowitz, Wetpaint CEO, on building a new type of media company}","f69cb216-784c-4fca-b738-949e18b5f9dd"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{external_url=http://techcrunch.com/2012/06/17/search-and-social-how-two-will-soon-become-one/; title=Guest post by CEO Ben Elowitz in TechCrunch}","5d82a87e-50a5-46bd-8b88-aa6163ab8eba"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{external_url=http://allthingsd.com/20120516/what-to-expect-when-facebook-is-expecting-five-predictions-for-facebooks-first-public-year/; title=Guest post by CEO Ben Elowitz in AllThingsD}","3fa21e73-19be-4171-a25e-4358fe019fe9"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{external_url=http://adage.com/article/digitalnext/facebook-biggest-player-advertising-s-540-billion-world/235708/; title=Guest post by CEO Ben Elowitz in AdAge}","1893413a-7cb6-4f77-9ea9-3f93f16b0f80"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{external_url=http://www.businessinsider.com/facebook-captures-14-percent-of-our-online-attention-but-only-4-percent-of-ad-spending-online-2012-6; title=Guest post by CEO Ben Elowitz in Business Insider}","d5684b57-5259-4778-b9f8-41bbea6b3f5d"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{external_url=http://allfacebook.com/wetpaint-media-data_b75963; title=AllFacebook coverage of Wetpaint}","118bc30f-85ab-4724-81a1-d136f8e214a6"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{external_url=http://adage.com/article/digital/celeb-site-wetpaint-shows-media-profit-facebook/237828/; title=Profile of Wetpaint in Ad Age}","16c77444-7cc1-475e-820a-1f77a04329e2"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{external_url=http://allthingsd.com/20121018/how-to-boost-your-facebook-traffic-tips-and-tricks-from-wetpaint/; title=Interview with Wetpaint CEO Ben Elowitz in All Things D}","c0bd2ef1-f7ac-4852-966d-f0d9dafeadde"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{external_url=http://www.xconomy.com/seattle/2012/10/19/wetpaint-starts-licensing-its-facebook-based-media-distribution-tech/; title=Profile of Wetpaint in Xconomy}","22e413d6-0a99-4bf5-8652-a118ecf60917"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{external_url=http://www.online-tech-tips.com/cool-websites/zoho-free-online-office-applications-word-processor-spreadsheets-etc/; title=Zoho Overview}","d2013523-939e-44ae-bbe5-3bd4e8b62532"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{external_url=http://www.online-tech-tips.com/cool-websites/free-online-web-meetings/; title=Zoho Meeting Review}","0edaead5-4bc4-42db-b493-da4e9b95eb26"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{external_url=http://mashpedia.com/Zoho; title=Zoho at Mashpedia}","21ecf1a1-4a33-4cc2-84f8-4a0db63c50b2"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{external_url=http://www.sitebuilderreport.com/reviews/zoho-sites/our-review; title=Zoho Sites Review}","959f49d9-b25e-4bd0-a9cd-e60fc1d9d2fc"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{external_url=http://www.sitebuilderreport.com/reviews/zoho-sites/our-review; title=Zoho Sites Review}","94252857-7474-4322-a3da-473eee47c64a"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{external_url=http://www.sitebuilderreport.com/reviews/zoho-sites/our-review; title=Zoho Sites Review}","e2594fe4-4220-44c7-9e55-434f81ed2f80"
"6f56bfd0-b8e6-45c1-a370-3720e97bd8f7","@{external_url=http://www.sociableblog.com/2008/09/25/digg-closed-287-million-in-series-c/; title=Digg Closed $28.7 Million in Series C round led by Highland Capital Partners}","3c9e0220-9c93-4849-96da-54e171acdabb"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{external_url=http://latimesblogs.latimes.com/technology/2008/09/facebook-hire-1.html; title=Facebook hires general counsel as it continues to grow}","39bb96ee-ab8e-4ea4-996d-de5d0f54e6f1"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{external_url=http://www.sociableblog.com/2011/12/16/facebook-timeline-now-live-for-all/; title=Facebook Timeline Now Live for All Users}","22d93f19-9fad-464e-bcd4-61aa715f8d1d"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{external_url=http://www.sociableblog.com/2012/02/02/facebook-ipo-value-personal-data/; title=Facebook IPO, The Value of Personal Data}","0a84d0dc-81ca-4aeb-9510-75d3e7d2200f"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{external_url=http://www.sociableblog.com/2012/04/01/facebook-timeline-for-all-pages-goes-live/; title=March 31, 2012: Facebook Timeline for All Pages Goes Live}","6dac962d-2840-478b-96eb-82db74fbf99d"
"43f14607-64b9-4c85-bda4-69bd4d067113","@{external_url=http://sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001418091; title=SEC}","b2d8a201-c439-43f4-8123-67eb41d9f294"
"43f14607-64b9-4c85-bda4-69bd4d067113","@{external_url=http://stories.twitter.com/; title=Twitter in the Community}","7b9b9ff1-e6ae-4241-a34d-fc530b4e5175"
"4a018076-890c-414c-9460-482f58b1d237","@{external_url=http://www.facebook.com/StumbleUpon; title=Facebook}","5e7d04c6-9a83-4e4b-baaa-1ffa9638d9e9"
"4a018076-890c-414c-9460-482f58b1d237","@{external_url=http://itunes.apple.com/us/app/stumbleupon!/id386244833?mt=8; title=iTunes App Store}","9365d186-9684-4e70-8484-794064a2f596"
"4a018076-890c-414c-9460-482f58b1d237","@{external_url=https://addons.mozilla.org/en-US/firefox/addon/stumbleupon/; title=Mozilla Firefox Add-Ons}","7a3a5707-7492-4415-96ea-4891110dd40c"
"4a018076-890c-414c-9460-482f58b1d237","@{external_url=https://chrome.google.com/webstore/detail/kcahibnffhnnjcedflmchmokndkjnhpg; title=Chrome Web Store}","156dadb2-7fe7-4685-9c7e-2c09b459aedc"
"461f2a75-7979-4803-ac8c-006a500ffdcc","@{external_url=http://www.online-tech-tips.com/cool-websites/free-online-document-storage/; title=Scribd Review}","27dff34e-7776-491f-b54b-fcbad68cad1f"
"9f9d6503-cf8a-4cbd-9cd7-78f53e395f45","@{external_url=http://www.sociableblog.com/2008/01/04/meetmoi-location-based-mobile-dating/; title=MeetMoi - Location Based Mobile Dating}","7872facb-d46c-49c2-958a-1ac366c0d14d"
"9f9d6503-cf8a-4cbd-9cd7-78f53e395f45","@{external_url=http://www.sociableblog.com/2008/10/10/mobile-location-based-services-on-the-move/; title=Mobile Location-Based Services on the Move}","ad40a705-03ce-4c9f-b0a9-74085ae079f3"
"9f9d6503-cf8a-4cbd-9cd7-78f53e395f45","@{external_url=http://www.onlinepersonalswatch.com/news/2009/01/andrew-weinreich-ceo-meetmoicom.html; title=CEO Andrew Weinreich Interview  01/09}","df14fd57-04a2-41b0-b0ef-06d8687a9f9a"
"9f9d6503-cf8a-4cbd-9cd7-78f53e395f45","@{external_url=http://www.onlinepersonalswatch.com/news/2010/03/alexander-harrington-president-of-meetmoi.html; title=????President Alexander Harrington Interview  03/10}","8beca218-27c0-43ec-8636-280db07f7db6"
"9c8a1b1d-4bd1-4869-9513-a0fecf7833b5","@{external_url=http://mashpedia.com/cisco; title=Cisco at Mashpedia}","5e9ce634-8c52-4546-9d20-96419faf4d4f"
"ef9a32a6-e05a-4265-85dc-0246e684bc20","@{external_url=http://onlinepersonalswatch.typepad.com/news/2008/01/yahoo-personals.html; title=GM Yahoo! Personals Egon Smola Interview  01/08}","41573a7c-e6f4-4df9-8321-b56200b33f1f"
"ef9a32a6-e05a-4265-85dc-0246e684bc20","@{external_url=http://onlinepersonalswatch.typepad.com/news/2005/10/online_personal.html; title=GM Yahoo! Personals Lorna Borenstein Interview  10/04}","8055f2df-f51c-499e-9a05-7cd2bf71eb83"
"9a730d3d-0d89-4d5e-892c-8f47ca6ff05b","@{external_url=http://en.wikipedia.org/wiki/Powerset_(company); title=Wikipedia article}","258a394e-7f7a-4d26-b32d-526db0f5df5e"
"87391e70-4dd6-44a0-a137-541c4349dd1a","@{external_url=http://www.washingtonian.com/articles/people/19168.html; title=Tech Titans 2011}","d8504e16-867f-4a6c-8121-1cd524947de9"
"87391e70-4dd6-44a0-a137-541c4349dd1a","@{external_url=http://www.bloomberg.com/news/2011-04-15/livingsocial-is-next-bet-for-steve-case-after-zipcar-payoff.html; title=LivingSocial Is Next Bet for Steve Case After Zipcar Payoff}","4284a45f-f8b6-4d1e-b008-5f9c9e8548d5"
"87391e70-4dd6-44a0-a137-541c4349dd1a","@{external_url=http://abcnews.go.com/GMA/video/unemployment-lowest-years-jobs-report-economy-business-13281027?tab=9482931&section=1206833; title=Unemployment at Lowest in Two Years}","69ef856f-d5ae-4b09-9aaa-3643e648a8b5"
"87391e70-4dd6-44a0-a137-541c4349dd1a","@{external_url=http://siliconangle.com/blog/2011/04/28/clearspring-serious-about-big-data-makes-audience-platform-portable/; title=Clearspring Serious About Big Data, Makes Audience Platform ""Portable""}","92fc6625-4e2d-41e3-87f4-5054d41e1e9a"
"87391e70-4dd6-44a0-a137-541c4349dd1a","@{external_url=http://www.adexchanger.com/one-question/what-is-the-biggest-misconception-about-the-use-of-data-for-ad-targeting/; title=What Is The Biggest Misconception About The Use Of Data For Ad Targeting?}","c221f146-3eba-4ec1-b24a-656704dd2788"
"87391e70-4dd6-44a0-a137-541c4349dd1a","@{external_url=http://blogs.imediaconnection.com/blog/2011/03/08/3-things-advertisers-shouldn%E2%80%99t-like-about-%E2%80%98likes%E2%80%99/; title=3 Things Advertisers Should Dislike About ???????Likes????????}","627f5a3f-e00d-4f54-a147-888fffc5bcbc"
"87391e70-4dd6-44a0-a137-541c4349dd1a","@{external_url=http://www.adexchanger.com/one-question/do-you-think-an-agency-trading-desk-can-be-successful/; title=One Question: Do You Think An Agency Trading Desk Can Be Successful?}","bbdbe6ec-b3a4-4766-94ff-eb290a6c6647"
"5025363e-3fbd-4422-92b9-d612206ecbe1","@{external_url=http://www.linkedin.com/company/openx; title=LinkedIn}","f76c545a-9a08-4c2d-8ad5-212034486d43"
"5025363e-3fbd-4422-92b9-d612206ecbe1","@{external_url=https://twitter.com/OpenX; title=Twitter}","5fb62390-4e62-45f5-b1c7-b34894e5694f"
"5025363e-3fbd-4422-92b9-d612206ecbe1","@{external_url=https://www.facebook.com/OpenX; title=Facebook}","1dd27481-3632-4a30-8c74-aee8e845403c"
"68cd21e5-595d-4774-a163-a52761eaefa6","@{external_url=http://www.duraslide.com.sg/; title=Aluminium Glass Suppliers in Singapore,Stainless Steel Product Suppliers Singapore}","c8e5e0b5-e597-4dfb-8c20-aaee4d249f2b"
"68cd21e5-595d-4774-a163-a52761eaefa6","@{external_url=http://utopia.com.sg/; title=Cleanroom Equipments Services Singapore | Construction Materials | Cleanroom Products | Cleanroom Laundry Service}","1cc428d7-0c1e-4361-a5a2-515ef4ff71b9"
"68cd21e5-595d-4774-a163-a52761eaefa6","@{external_url=http://www.feigeasia.com.sg/; title=Automatic Liquid Filling machine }","f8ced961-94ea-43cc-b05e-62a7a66e125f"
