"_parent_id","value","_id"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{id=5869; description=Wetpaint named in Lead411's Hottest Seattle Companies list; stoned_year=2010; stoned_month=6; stoned_day=8; source_url=http://www.lead411.com/seattle-companies.html; source_text=; source_description=LEAD411 LAUNCHES ""HOTTEST SEATTLE COMPANIES"" AWARDS; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","3833cbc1-5d41-4672-ad1d-a89ccbdead99"
"486cb45f-83bc-46e9-b985-8de8daa002e6","@{id=8702; description=Site-Builder Wetpaint Makes One For Itself, Using the Demand Media Playbook; stoned_year=2010; stoned_month=9; stoned_day=6; source_url=http://mediamemo.allthingsd.com/20100906/site-builder-wetpaint-makes-one-for-itself-using-the-demand-media-playbook/; source_text=; source_description=All Things D; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","ae882c17-4a50-4a24-a8f2-93fe615cb073"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{id=388; description=Zoho Reaches 2 Million Users; stoned_year=2008; stoned_month=8; stoned_day=7; source_url=; source_text=Mike,

Tomorrow @ 6AM PST, we are announcing that we now have 1 Million users. User registration stats are attached.

It took us 1 Year to get the first 100K users, 6 Months to get the second 100K, 4 Months to get the third etc. In the last 1 year we added 700K new users. The pace has been increasing.

The registration numbers really jumped after we added support for Google & Yahoo users. Currently over 30% of our users are coming from Google/Yahoo accounts (with more Google users than Yahoo users).

I'd love to provide more information on this.

Raju

; source_description=; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","f9b20bc1-a528-47d0-8ded-a23678e8cdd3"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{id=6577; description=Zoho Calendar Steps Out Of Beta With Sharing, Subscribing And More; stoned_year=2010; stoned_month=7; stoned_day=7; source_url=http://techcrunch.com/2010/07/07/zoho-calendar-steps-out-of-beta-with-sharing-subscribing-and-more/; source_text=; source_description=Zoho Calendar Steps Out Of Beta With Sharing, Subscribing And More; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","b7168efb-8ffc-4f62-865a-5f43fdc22380"
"d6852aaf-df76-45ab-8d51-252cb4eefeb0","@{id=7360; description=Zoho Reports Steps Out Of Beta With Pricing Model And New Features; stoned_year=2009; stoned_month=12; stoned_day=15; source_url=http://techcrunch.com/2009/12/15/zoho-reports-steps-out-of-beta-with-pricing-model-and-new-features/; source_text=; source_description=Zoho Reports Steps Out Of Beta; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","df6708c5-5ffc-4c49-aa13-1ef89e370cc7"
"6f56bfd0-b8e6-45c1-a370-3720e97bd8f7","@{id=9588; description=Another Digg Exec Is Out: Longtime CFO John Moffett Leaves; stoned_year=2010; stoned_month=10; stoned_day=25; source_url=http://techcrunch.com/2010/10/25/another-digg-exec-is-out-longtime-cfo-john-moffett-leaves/; source_text=; source_description=Another Digg Exec Is Out: Longtime CFO John Moffett Leaves; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","894dcc3e-32c6-49b8-a476-2516c9e11ab7"
"6f56bfd0-b8e6-45c1-a370-3720e97bd8f7","@{id=24912; description=Digg Sold To LinkedIn AND The Washington Post And Betaworks; stoned_year=2012; stoned_month=7; stoned_day=13; source_url=http://techcrunch.com/2012/07/12/digg-sold-to-linkedin-and-the-washington-post-and-betaworks/; source_text=; source_description=Digg Sold To LinkedIn AND The Washington Post And Betaworks; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","0d644029-4ffe-4506-8c9a-e10c08f0b739"
"6f56bfd0-b8e6-45c1-a370-3720e97bd8f7","@{id=42148; description=Digg Video launches.; stoned_year=2013; stoned_month=11; stoned_day=5; source_url=http://techcrunch.com/2013/11/05/digg-gives-videos-prime-placement-with-new-digg-video-site/; source_text=; source_description=Digg Gives Videos Prime Placement With New Digg Video Site; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","6b358d6e-e7f9-40d2-b4b4-91693db25c8e"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=108; description=Facebook adds comments to Mini-Feed; stoned_year=2008; stoned_month=6; stoned_day=25; source_url=http://venturebeat.com/2008/06/25/facebook-adds-comment-to-the-mini-feed-its-like-friendfeed-is-looking-in-the-mirror/; source_text=; source_description=Facebook adds comments to the Mini-Feed. It's like FriendFeed is looking in the mirror; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","87853e98-47f3-4c04-aae5-4c18e8e08cd7"
"7eca6915-3719-4445-9e27-f8b6fb3035d5","@{id=764; description=fbFund for Developers awards its grants.; stoned_year=2008; stoned_month=10; stoned_day=15; source_url=http://www.techcrunch.com/2008/10/15/the-fbfund-gives-out-cash-to-25-facebook-developers/; source_text=; source_description=The fbFund Gives Out Cash To 25 Facebook Developers; stoneable_type=Company; stoned_value=; stoned_value_type=; stoned_acquirer=; stoneable=}","a4028425-aaf6-46aa-bdba-8bfcdd51cc36"
