"_parent_id","value","_id"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{price_amount=; price_currency_code=USD; term_code=; source_url=; source_description=; acquired_year=2009; acquired_month=10; acquired_day=15; company=}","c46268a7-6c2c-49b9-aca5-2e6fe4b56e05"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=cash; source_url=http://www.techcrunch.com/2007/07/19/breaking-facebook-has-acquired-parakey/; source_description=; acquired_year=2007; acquired_month=7; acquired_day=1; company=}","6e964f0d-2538-4b6b-9ddc-f855a04fcea1"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=47500000; price_currency_code=USD; term_code=cash_and_stock; source_url=http://www.techcrunch.com/2009/08/10/facebook-acquires-friendfeed; source_description=Facebook Acquires FriendFeed; acquired_year=2009; acquired_month=8; acquired_day=10; company=}","f57eb876-cdc4-4c4b-815f-1ff4fee2db08"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2010/02/19/octazen-what-the-heck-did-facebook-just-buy-exactly-and-why/; source_description=; acquired_year=2010; acquired_month=2; acquired_day=19; company=}","246e6fd5-4772-4732-93fb-2b4b3a606038"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2010/04/02/facebook-buys-up-divvyshot-to-make-facebook-photos-even-better/; source_description=Facebook Acquires Divvyshot to Improve Facebook Photos; acquired_year=2010; acquired_month=4; acquired_day=2; company=}","e868b233-5452-4ea9-a711-6df56f8cced7"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://mashable.com/2010/05/26/facebook-acquires-sharegrove/; source_description=; acquired_year=2010; acquired_month=5; acquired_day=; company=}","40270a63-466a-410a-a03a-a7719db4137a"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=2500000; price_currency_code=USD; term_code=cash; source_url=http://techcrunch.com/2010/07/08/facebook-acquires-social-travel-recommendation-site-nextstop/; source_description=Facebook Acquires Social Travel Recommendation Site Nextstop; acquired_year=2010; acquired_month=9; acquired_day=25; company=}","ea6d1970-8dc3-46ff-af76-6dc3e9b19534"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=10000000; price_currency_code=USD; term_code=; source_url=http://paidcontent.org/article/419-facebook-makes-another-acq-hire-chai-labs-deal-estimated-at-10-million/; source_description=Facebook Makes Another ""Acq-Hire"" Chai Labs; Deal Estimated At $10 Million ; acquired_year=2010; acquired_month=8; acquired_day=15; company=}","b227691f-c0a8-4d7a-a847-3e693d026c49"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2010/10/29/facebook-acquires-drop-io-nabs-sam-lessin/; source_description=Facebook Acquires Drop.io, Nabs Sam Lessin; acquired_year=2010; acquired_month=10; acquired_day=29; company=}","4d4a8046-760f-4f46-a7bb-0c541de5fac2"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://www.businessinsider.com/facebook-zenbe-2010-11; source_description=Facebook Buys Yet Another NYC Startup -- Why Doesn't It Just Open An Engineering Office Here Already?; acquired_year=2010; acquired_month=11; acquired_day=16; company=}","2d6d83af-5f31-4042-bd72-8a8a81a95740"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://emoney.allthingsd.com/20110125/facebook-acquires-mobile-advertising-company-out-of-stealth-mode/; source_description=All Things D; acquired_year=2011; acquired_month=1; acquired_day=25; company=}","8855e6a4-140a-4761-8d1b-ab9673067a1b"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/02/25/pursuit-hackruiter/; source_description=; acquired_year=2011; acquired_month=; acquired_day=; company=}","e74abba3-f699-48bc-a285-3ee043a531c2"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/03/01/facebook-beluga/; source_description=; acquired_year=2011; acquired_month=3; acquired_day=1; company=}","c0ccbd28-351f-4a71-bdf4-484cb8a8e8f7"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=60000000; price_currency_code=USD; term_code=stock; source_url=http://techcrunch.com/2011/03/20/facebook-reportedly-acquires-snaptu-for-an-estimated-60-70-million/; source_description=Confirmed: Facebook Acquires Snaptu (For An Estimated $60???$70 Million); acquired_year=2011; acquired_month=9; acquired_day=17; company=}","c23bcfeb-56d5-4bdc-a303-154222f53e4e"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://www.madebysofa.com/blog/facebook-acquires-sofa/; source_description=Facebook Acquires Sofa; acquired_year=2011; acquired_month=6; acquired_day=9; company=}","4f990fc3-c43b-4831-9f34-4ad072c0a0d1"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/08/02/facebook-buys-digital-bookmaking-service-push-pop-press/; source_description=Facebook Buys Digital Bookmaking Service Push Pop Press; acquired_year=2011; acquired_month=8; acquired_day=2; company=}","d2199584-8efd-4785-be0e-07ee5898e5b1"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=CAD; term_code=cash; source_url=http://rahul.bosumatary.com/2011/10/10/facebook-friendly/; source_description=bsty; acquired_year=2012; acquired_month=3; acquired_day=3; company=}","1747fa29-0788-48db-bdf7-3f9f914a1c20"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/11/07/facebook-acquires-mobile-video-and-image-editing-app-developer-digital-staircase/; source_description=Facebook Acq-hires Mobile Video And Image Editing App Developer Digital Staircase; acquired_year=2011; acquired_month=11; acquired_day=7; company=}","298c1697-783c-4da5-a7a3-9f32b59ce1d5"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/11/08/facebook-acquires-html5-app-delivery-network-strobe-sproutcore-lives-on/; source_description=Facebook Acquires HTML5 App Delivery Network Strobe; SproutCore Lives On; acquired_year=2011; acquired_month=11; acquired_day=8; company=}","56169b27-e02e-4362-9729-e927989ac6a8"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/11/28/facebook-acquires-the-tech-behind-whoglue-a-company-that-sued-it-in-2009/; source_description=Facebook Acquires The Tech Behind WhoGlue, A Company That Sued It In 2009; acquired_year=2011; acquired_month=11; acquired_day=28; company=}","15b7b1c1-c754-429d-aa6d-494d5e5488a8"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://techcrunch.com/2011/12/02/report-facebook-has-acquired-gowalla/; source_description=Report: Facebook Has Acquired Gowalla; acquired_year=2011; acquired_month=12; acquired_day=2; company=}","8e56abad-095c-4391-8ece-89982e6e72ad"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://mountainview.patch.com/articles/facebook-acquires-gazehawk-green-dot-acquires-loopt; source_description=Facebook Acquires GazeHawk; Green Dot Acquires Loopt; acquired_year=2012; acquired_month=3; acquired_day=10; company=}","a2dfd5bd-d6db-4202-93d4-1cb70089cad1"
"2f5f080c-661f-4b51-bb9e-68d27f7459c9","@{price_amount=; price_currency_code=USD; term_code=; source_url=http://venturebeat.com/2012/02/29/facebook-caffeinated-mind/; source_description=Facebook acquires team behind YC alum Caffeinated Mind; acquired_year=2012; acquired_month=3; acquired_day=; company=}","f7f715df-5304-472e-b86d-1be37f96a63a"
