"_parent_id","value","_id"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=False; title=Co-Founder and VP, Social and Audience Development; person=}","16df98b3-1e9b-45fc-8b14-e8bec2ff775b"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=False; title=Co-Founder/CEO/Board of Directors; person=}","b8ae88a9-f9f7-4d10-b883-89a8ca6d234d"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=False; title=COO/Board of Directors; person=}","169caae6-0e06-4c50-9a2f-e7b1910530cf"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=False; title=SVP, Strategy and Business Development; person=}","8fb3363b-2cb9-4b19-ae6e-91e0e69c5223"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=False; title=Board; person=}","6436853b-daf4-4f6f-9402-624f3d8b9ae7"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=False; title=Board Member; person=}","7ce91078-7020-454f-a90e-16de727a619c"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=False; title=Board; person=}","53165e21-691c-441e-9eae-54dba75fbb88"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=False; title=Head of Technology and Product; person=}","5f90eee5-6a66-4764-bada-6184bedf25ae"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=True; title=CFO; person=}","366ce1c6-e4ef-453a-b40e-69f866c5518c"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=True; title=CFO/ CRO; person=}","974365bd-f970-45ed-afd6-9a6c8a8745bb"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=True; title=Senior Vice President, Marketing; person=}","cb2529a0-44a5-4cb6-8856-7846c83f4298"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=True; title=VP, Technology and Product; person=}","516ac8e9-75f9-4de2-88dd-0236c6516307"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=True; title=VP Marketing; person=}","9a204297-30e5-4992-8b95-f1d1a9c207bb"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=True; title=VP User Experience; person=}","e4f8363e-be95-4882-9153-4de5a5fce1d1"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=True; title=VP Engineering; person=}","9eada6df-3882-4d10-acda-74185b38d93a"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=True; title=Executive Editor; person=}","2ef2165c-9e5d-4dff-9b84-71eb87e5b60d"
"a78e1808-6615-4ed5-b2a9-c6ddcfc3f3d8","@{is_past=True; title=VP Business Development; person=}","75dd966e-0c63-4607-b28a-2d18a6afc848"
"599b354c-efdf-45d0-afcf-668c716485bf","@{is_past=True; title=CEO and Co-Founder; person=}","0ab7f287-e1e5-4ab1-8e5b-78f53ac80481"
"599b354c-efdf-45d0-afcf-668c716485bf","@{is_past=True; title=VP of Business Dev; person=}","b7119e63-6fe7-48ce-9f88-ce6786f42417"
"599b354c-efdf-45d0-afcf-668c716485bf","@{is_past=True; title=Usabiliy Engineer; person=}","19a89794-bc3e-4237-b78f-c17600cfa3e0"
"599b354c-efdf-45d0-afcf-668c716485bf","@{is_past=True; title=Director of Engineering; person=}","9c9850e8-bb74-4bb2-ae6e-4e9105f1aec9"
"599b354c-efdf-45d0-afcf-668c716485bf","@{is_past=True; title=Market Analyst; person=}","c15608bc-ff11-4830-8dc0-9a11edb708ae"
"599b354c-efdf-45d0-afcf-668c716485bf","@{is_past=True; title=Director of Product Management; person=}","e483832d-033d-4e4b-bcd1-6ae2ffde5f4a"
"599b354c-efdf-45d0-afcf-668c716485bf","@{is_past=True; title=Western Regional OEM Sales Manager; person=}","fcf36cfa-4dd8-4f7e-a20f-75162c756be3"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=CEO and Founder; person=}","a81e0b8d-89ae-4d55-b238-aafa06454282"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=VP Product Managment; person=}","45b1bc56-b3d3-429c-9611-0bde014c9674"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=VP Marketing; person=}","ad9c08e3-5155-432d-9107-f32edb552fb8"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=Evangelist; person=}","e3712726-f6db-48bc-9570-bc2138df38bd"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=Director of Product Managment; person=}","5201cf41-8809-435e-b739-1635e24954d2"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=VP Opration; person=}","336ac1dd-143b-4ce6-915f-f19fe3d93ace"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=Director Of Engineering; person=}","21d83a9f-980f-40eb-a0d9-979211023b4c"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=President; person=}","845aa4fb-0ba8-4c7c-8668-0c3fa457ca03"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=GM Marketing; person=}","bd34ce20-d38f-4447-8cb3-bb41fb92f8c3"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=Director of Product Management; person=}","d0295dd2-9e1a-4457-a3ad-68835e0354b5"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=False; title=Marketing / Business Development Executive; person=}","de9061a1-a2cb-43cb-b44f-ac274f162fc2"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=True; title=Senior Director Strategic Alliances; person=}","8121446f-4115-4598-829e-4d858f63489c"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=True; title=Project Manager; person=}","ca453560-0545-4c53-8b58-f094a4b7b49e"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=True; title=Technical Architect; person=}","b7444f9f-dc64-4d4e-8ebb-4867afef9601"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=True; title=Member, Technical Staff; person=}","5f6493ba-f00f-413e-8137-52fa7d8519d5"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=True; title=Software Architect & Project Manager; person=}","4604a0f1-41da-47ae-bd9b-bac0c5502063"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=True; title=Director, Professional Services; person=}","0d24f311-88d3-461b-abab-a5577d980c83"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{is_past=True; title=Technical Architect; person=}","07f229c5-024d-46d9-bf29-45d18c5f11fa"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=False; title=CEO; person=}","ee5d0c36-d01c-40a7-ab7c-cb3a48b12d15"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=False; title=CEO; person=}","75fe9f27-3e79-45ec-8b73-360ec7ee81ec"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=False; title=CFO; person=}","7f8d5627-3e4e-49b8-9fde-f059e409a75d"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=False; title=VP of Engineering; person=}","7c978fa6-31cb-4d93-a87b-50ef283bde50"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=False; title=Designer; person=}","77560a50-3d64-4ad8-b4cf-e99300bf25d9"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=False; title=NetSystem; person=}","6301e420-ad49-43e5-b94a-c65b8401bbd2"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=Founder & CEO; person=}","ae72b620-c588-4d03-b6cc-1aadd4f1e0ba"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=CFO; person=}","3de1ab4d-1c22-4d1a-a975-423b3aa7221c"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=Chief Strategy Officer; person=}","f93e9a5a-e84d-4bf1-8426-d92cae34d142"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=Chief Executive Officer; person=}","ba7bed46-2124-4732-b3c8-36f5f39036e2"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=VP Ads Development; person=}","7a6a185e-b339-4973-8220-b39b1b805e53"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=VP of Engineering; person=}","0b71331a-9cef-4939-8f35-59b69b088d3e"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=VP Engineering; person=}","cfdf530a-9841-45d2-8ac8-25c0982f9bfe"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=VP of Product; person=}","176bfcac-f4fc-43b0-9b72-8fb47d8e6660"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=VP Business Development; person=}","3f8c2b4d-7b7d-451d-acb6-721dc787aec3"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=Vice President, Operations; person=}","3f6842c2-8e0a-48d1-832c-1a24b75ac4f6"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=VP of Research and Development; person=}","ae3e7d08-1c94-4219-b6d8-6ef51651e607"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=Senior Software Engineer; person=}","63d2b7c2-9b57-4399-9a5e-4ce82f05de16"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=Lead Architect; person=}","9c3c7158-adcf-4da5-9e1b-cb0442da011c"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=Business Development; person=}","92e121e0-a312-4a7e-b32f-071b852d2e37"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=Creative Director; person=}","0903cc23-ffa0-41d9-bfbd-cac03807683b"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=Board of Directors; person=}","63f819d3-7467-45ee-93d2-bdb72970880f"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=User Experience; person=}","049d4c37-ee62-4eeb-9b69-68aab048cf49"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{is_past=True; title=UI Designer; person=}","75fbbef6-3e4e-4cc9-a953-a057b9de7856"
