"_parent_id","value","_id"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{embed_code=<object width=""430"" height=""270""><param name=""movie"" value=""http://www.youtube.com/v/KgNcHyuo2MU&hl=en""></param><param name=""wmode"" value=""transparent""></param><embed src=""http://www.youtube.com/v/KgNcHyuo2MU&hl=en"" type=""application/x-shockwave-flash"" wmode=""transparent"" width=""430"" height=""270""></embed></object>; description=<p><a href=""http://pitches.techcrunch.com/pitch/10-zoho"" title=""Zoho&#8217;s pitch"">Zoho&#8217;s pitch</a> from TechCrunch Elevator Pitches</p>}","2d7b34a2-de26-4a4f-b6cc-8e098563a970"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{embed_code=<embed src=""http://blip.tv/play/hRbO5CAA"" type=""application/x-shockwave-flash"" width=""430"" height=""270"" allowscriptaccess=""always"" allowfullscreen=""true""></embed>; description=<p>This video was originally published on <a href=""http://www.beet.tv/2008/09/zoho-web-apps-c.html"" title=""Beet.TV"" rel=""nofollow"">Beet.TV</a></p>}","15913557-d7ce-4d4d-a1ec-6d4e54574aa1"
"fcee429b-c017-4e2a-ac2d-6d6761139f00","@{embed_code=<object width=""430"" height=""270""><param name=""movie"" value=""http://www.youtube.com/v/3RD_3wooRjI&color1=0xb1b1b1&color2=0xcfcfcf&hl=en_US&feature=player_embedded&fs=1""></param><param name=""allowFullScreen"" value=""true""></param><param name=""allowScriptAccess"" value=""always""></param><embed src=""http://www.youtube.com/v/3RD_3wooRjI&color1=0xb1b1b1&color2=0xcfcfcf&hl=en_US&feature=player_embedded&fs=1"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" allowScriptAccess=""always"" width=""430"" height=""270""></embed></object>; description=}","5fe6d2b0-ad54-4032-8475-c0bb23b87980"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{embed_code=<embed src=""http://blip.tv/play/hRaY4zgA"" type=""application/x-shockwave-flash"" width=""370"" height=""308"" allowscriptaccess=""always"" allowfullscreen=""true""></embed>; description=<p>This video was originally published on <a href=""http://www.beet.tv/2008/09/digg-raises-287.html"" title=""Beet.TV"" rel=""nofollow"">Beet.TV</a></p>}","1a44674c-0f12-49cd-a585-7438fe85a5fc"
"1e62e52f-b408-40ff-a384-b76958378e4c","@{embed_code=<iframe width=""430"" height=""242"" src=""http://www.youtube.com/embed/7J1T3Y70IW4"" frameborder=""0"" allowfullscreen></iframe>; description=<p>TechCrunch interview with Kevin Rose, April 2009</p>}","a4dc1482-a1fa-4305-a75b-4590c4cec7ff"
"22a09225-5ddd-4cdc-9fdf-16b5451f7a50","@{embed_code=<object width=""425"" height=""344""><param name=""movie"" value=""http://www.youtube.com/v/BBKbReG_TOI&hl=en""></param><param name=""wmode"" value=""transparent""></param><embed src=""http://www.youtube.com/v/BBKbReG_TOI&hl=en"" type=""application/x-shockwave-flash"" wmode=""transparent"" width=""425"" height=""344""></embed></object>; description=<p><a href=""http://pitches.techcrunch.com/pitch/29-geni"" title=""Geni&#8217;s pitch"">Geni&#8217;s pitch</a> from TechCrunch Elevator Pitches</p>}","2c34a904-a6b8-42ec-baa6-12f91254c563"
"22a09225-5ddd-4cdc-9fdf-16b5451f7a50","@{embed_code=<div style=""background-color:#dedede;width:320px;text-align:center;font-family:Arial,sans-serif;font-size:10pt;padding-top:4px;padding-bottom:5px;margin:0;""><a href=""http://www.vator.tv/pitch/show/Creating-the-Worlds-Family-Tree"" target=""_blank"">See this video on <span style=""color:#38538e;font-weight: bold;"">Vator</span><span style=""color:#50a756;font-weight: bold;"">.tv</span>&nbsp;&raquo;</a></div><embed src=""http://www.vator.tv/embed/vpembed.swf"" FlashVars=""v=179_Geni.flv&b=2&i=179&o=embed&vp=1&l=http://www.vator.tv/pitch/show/Creating-the-Worlds-Family-Tree"" allowScriptAccess=""always"" allowFullScreen=""true"" bgcolor=""#ffffff"" width=""320"" height=""265"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash""></embed>; description=}","fc01bb0a-b284-4a9f-a684-7e84155400ae"
"22a09225-5ddd-4cdc-9fdf-16b5451f7a50","@{embed_code=<div style=""width:320px;""><div style=""background-color:#dedede;width:320px;text-align:center;font-family:Arial,sans-serif;font-size:10pt;padding-top:4px;padding-bottom:5px;margin:0;""><a href=""http://vator.tv/news/show/2008-03-24-vator-box-pays-its-respects-to-respectance-and-geni"" target=""_blank"">See this video on <span style=""color:#38538e;font-weight: bold;"">Vator</span><span style=""color:#50a756;font-weight: bold;"">.tv</span>&nbsp;&raquo;</a></div><embed src=""http://vator.tv/embed/vpembed.swf"" FlashVars=""v=2407_Vator-Box--08-5.2.flv&b=2&i=2407&o=embed&vp=1&l=http://vator.tv/news/show/2008-03-24-vator-box-pays-its-respects-to-respectance-and-geni"" allowScriptAccess=""always"" allowFullScreen=""true"" bgcolor=""#ffffff"" width=""320"" height=""265"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash""></embed></div>; description=<p>VatorTV: 3/2008</p>}","41354ea1-fa67-47cd-936b-78578fd13aac"
"3c0a8489-1ac7-4dc0-bebd-93bb2bdf3616","@{embed_code=<embed src=""http://blip.tv/play/goRrgcGtFQI%2Em4v"" type=""application/x-shockwave-flash"" width=""370"" height=""240"" allowscriptaccess=""always"" allowfullscreen=""true""></embed> ; description=<p>This video was originally posted on <a href=""http://www.beet.tv/2010/01/producers-for-foxs-super-popular-freshman-hit-glee-will-host-an-open-casting-call-online-for-a-few-new-roles-in-the-glee-club.html"" title=""Beet.TV"" rel=""nofollow"">Beet.TV</a> </p>}","9328760f-d612-40ca-b57b-1d6e7cf90287"
"3c0a8489-1ac7-4dc0-bebd-93bb2bdf3616","@{embed_code=<embed src=""http://blip.tv/play/goRrgcvTCAI%2Em4v"" type=""application/x-shockwave-flash"" width=""370"" height=""240"" allowscriptaccess=""always"" allowfullscreen=""true""></embed>; description=<p>This video was originally posted on <a href=""http://www.beet.tv/2010/03/fox-readying-hululike-mobile-content-site-called-bitbot.html"" title=""Beet.TV"" rel=""nofollow"">Beet.TV</a></p>}","8ded29a9-b6ec-4742-b47e-001b84d44652"
